NDC,ATC
Methylprednisolone 125 MG/ML Injectable Solution [Solu-Medrol],"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN"
Water 1000 MG/ML Injectable Solution,ALL OTHER THERAPEUTIC PRODUCTS
lansoprazole 15 MG Enteric Coated Capsule [Prevacid],DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
"antihemophilic factor, human recombinant 1 UNT Injection [Helixate]",VITAMIN K AND OTHER HEMOSTATICS
pancuronium bromide 1 MG/ML Injectable Solution,"MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS"
isradipine 2.5 MG Oral Capsule,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS
thalidomide 50 MG Oral Capsule [Thalomid],IMMUNOSUPPRESSANTS
nevirapine 200 MG Oral Tablet,DIRECT ACTING ANTIVIRALS
1 ML rabies virus vaccine flury-lep strain 2.5 UNT/ML Injection [RabAvert],VIRAL VACCINES
niacinamide 500 MG Oral Tablet,OTHER PLAIN VITAMIN PREPARATIONS in ATC
nitrofurantoin 5 MG/ML Oral Suspension [Furadantin],OTHER ANTIBACTERIALS in ATC
Zidovudine 10 MG/ML Oral Solution [Retrovir],DIRECT ACTING ANTIVIRALS
{28 (Norethindrone 0.35 MG Oral Tablet) } Pack [Ortho Micronor 28 Day],PROGESTOGEN SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM
bethanechol chloride 5 MG Oral Tablet [Urecholine],PARASYMPATHOMIMETICS
Buprenorphine 2 MG Sublingual Tablet [Subutex],OPIOID ANALGESICS
AMPHOTERICIN B POWDER,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS"
28 ACTUAT Teriparatide 0.02 MG/ACTUAT Prefilled Syringe [Forteo],PARATHYROID HORMONES AND ANALOGUES
2 ML Vitamin A 50000 UNT/ML Injection [Aquasol A],"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO"
bismuth subsalicylate 17.5 MG/ML Oral Suspension [Kaopectate Reformulated Aug 2006],ALL OTHER THERAPEUTIC PRODUCTS
12 HR Procainamide Hydrochloride 500 MG Extended Release Tablet [Procanbid],"ANTIARRHYTHMICS, CLASS I AND III"
Procainamide Hydrochloride 750 MG Extended Release Tablet,"ANTIARRHYTHMICS, CLASS I AND III"
Vitamin E 26.7 UNT/ML Oral Solution,OTHER PLAIN VITAMIN PREPARATIONS in ATC
ethosuximide 250 MG Oral Capsule,ANTIEPILEPTICS
hydroxocobalamin 5000 MG Injection [Cyanokit],VITAMIN B<n>12</n> AND FOLIC ACID
sertraline 50 MG Oral Tablet [Zoloft],ANTIDEPRESSANTS
doxylamine succinate 10 MG / pyridoxine hydrochloride 10 MG Delayed Release Oral Tablet [Diclegis],ANTIHISTAMINES FOR SYSTEMIC USE
morphine sulfate 30 MG Rectal Suppository,OPIOID ANALGESICS
1 ML morphine sulfate 4 MG/ML Prefilled Syringe,OPIOID ANALGESICS
10 ML fosphenytoin sodium 75 MG/ML Injection,ANTIEPILEPTICS
5 ML phenytoin sodium 50 MG/ML Injection,ANTIEPILEPTICS
ceftriaxone 500 MG Injection,OTHER BETA-LACTAM ANTIBACTERIALS in ATC
everolimus 0.25 MG Oral Tablet [Zortress],"PROTEIN KINASE INHIBITORS, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS"
nevirapine 10 MG/ML Oral Suspension [Viramune],DIRECT ACTING ANTIVIRALS
30 ML bupivacaine hydrochloride 5 MG/ML / epinephrine 0.005 MG/ML Injection,LOCAL ANESTHETICS
Procainamide Hydrochloride 250 MG Oral Capsule,"ANTIARRHYTHMICS, CLASS I AND III"
10 ML Clonidine Hydrochloride 0.5 MG/ML Injection,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING"
Vasopressins 20 UNT/ML Injectable Solution [Pitressin],POSTERIOR PITUITARY LOBE HORMONES
Ethyl Chloride 1 ML/ML Topical Spray,LOCAL ANESTHETICS
Dihematoporphyrin Ether 2.5 MG/ML Injectable Solution [Photofrin],OTHER ANTINEOPLASTIC AGENTS in ATC
Methadone Hydrochloride 10 MG/ML Injectable Solution [Dolophine],DRUGS USED IN ADDICTIVE DISORDERS
azithromycin 10 MG/ML Ophthalmic Solution [AzaSite],ANTIINFECTIVE OPHTHALMOLOGICS
anti-inhibitor coagulant complex 1 UNT Injection [Feiba],VITAMIN K AND OTHER HEMOSTATICS
sunitinib 50 MG Oral Capsule [Sutent],"PROTEIN KINASE INHIBITORS, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS"
methylprednisolone 2000 MG Injection [Solu-Medrol],"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN"
erlotinib 150 MG Oral Tablet [Tarceva],"PROTEIN KINASE INHIBITORS, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS"
"1 ML hepatitis A virus strain CR 326F antigen, inactivated 50 UNT/ML Injection [Vaqta]",VIRAL VACCINES
Papaverine 150 MG Extended Release Oral Capsule,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
sunitinib 12.5 MG Oral Capsule [Sutent],"PROTEIN KINASE INHIBITORS, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS"
Cefuroxime 500 MG Oral Tablet,OTHER BETA-LACTAM ANTIBACTERIALS in ATC
20 ML Baclofen 2 MG/ML Injection [Lioresal],"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS"
nilotinib 150 MG Oral Capsule [Tasigna],"PROTEIN KINASE INHIBITORS, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS"
mafenide 50 MG/ML Topical Solution [Sulfamylon],CHEMOTHERAPEUTICS FOR TOPICAL USE
Thiotepa 15 MG Injection,ALKYLATING AGENTS
Fluphenazine Hydrochloride 5 MG/ML Oral Solution [Prolixin],ANTIPSYCHOTICS
Amphotericin B 5 MG/ML Injectable Solution [Fungizone],ANTIMYCOTICS FOR SYSTEMIC USE
Adenosine 3 MG/ML Injectable Solution [Adenoscan],OTHER CARDIAC PREPARATIONS in ATC
2.5 ML defibrotide sodium 80 MG/ML Injection [Defitelio],ANTITHROMBOTIC AGENTS
0.25 ML influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.03 MG/ML / influenza A virus A/Michigan/45/2015 (H1N1) antigen 0.03 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML,VIRAL VACCINES
sotalol hydrochloride 80 MG Oral Tablet [Sorine],BETA BLOCKING AGENTS
2 ML bendamustine hydrochloride 90 MG/ML Injection [Treanda],ALKYLATING AGENTS
Betaxolol 2.5 MG/ML Ophthalmic Suspension [Betoptic S],ANTIGLAUCOMA PREPARATIONS AND MIOTICS
cytomegalovirus immune globulin 50 MG/ML Injectable Solution [Cytogam],IMMUNOGLOBULINS
ASPARAGINASE 5000 UNT/ML Injectable Solution [Elspar],OTHER ANTINEOPLASTIC AGENTS in ATC
Alendronic acid 10 MG Oral Tablet [Fosamax],DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION
1.5 ML Leuprolide Acetate 7.5 MG/ML Prefilled Syringe [Lupron],HORMONES AND RELATED AGENTS
cromolyn sodium 20 MG/ML Oral Solution [Gastrocrom],INTESTINAL ANTIINFLAMMATORY AGENTS
ethionamide 250 MG Oral Tablet [Trecator],DRUGS FOR TREATMENT OF TUBERCULOSIS
aminosalicylic acid 4000 MG Oral Granules [Paser D/R],DRUGS FOR TREATMENT OF TUBERCULOSIS
1 ML methylprednisolone acetate 80 MG/ML Injection [Depo-Medrol],"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN"
"SMOFLIPID - smoflipid injection, emulsion",ALL OTHER THERAPEUTIC PRODUCTS
oxaprozin 600 MG Oral Tablet [Daypro],"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS"
deferasirox 500 MG Tablet for Oral Suspension [Exjade],ALL OTHER THERAPEUTIC PRODUCTS
"0.5 ML Influenza A virus vaccine, A-California-7-2009 (H1N1)-like virus 0.03 MG/ML / Influenza A virus vaccine, A-Victoria-361-2011 (H3N2)-like virus 0.03 MG/ML / Influenza B virus vaccine, B-Massachusetts-2-2012-like virus 0.03 MG/ML Prefilled Syringe [A",VIRAL VACCINES
{28 (norethindrone 0.35 MG Oral Tablet) } Pack,PROGESTOGEN SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM
Pilocarpine Hydrochloride 0.04 MG/MG Ophthalmic Gel [Pilopine],ANTIGLAUCOMA PREPARATIONS AND MIOTICS
10 ML bupivacaine hydrochloride 5 MG/ML Injection,LOCAL ANESTHETICS
glucose 4000 MG Chewable Tablet,OTHER NUTRIENTS in ATC
tigecycline 10 MG/ML Injectable Solution [Tygacil],Tetracycline antibiotics
Disulfiram 250 MG Oral Tablet [Antabuse],DRUGS USED IN ADDICTIVE DISORDERS
hydroxyzine hydrochloride 2 MG/ML Oral Solution,ANXIOLYTICS
doxorubicin hydrochloride 50 MG Injection [Adriamycin],CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES
20 ML magnesium sulfate 500 MG/ML Injection,OTHER MINERAL SUPPLEMENTS in ATC
cefoxitin 2000 MG Injection,OTHER BETA-LACTAM ANTIBACTERIALS in ATC
cariprazine 1.5 MG Oral Capsule [Vraylar],ANTIPSYCHOTICS
Muromonab-CD3 1 MG/ML Injectable Solution [Orthoclone OKT3],IMMUNOSUPPRESSANTS
24 HR selegiline 0.25 MG/HR Transdermal System [Emsam],ALL OTHER THERAPEUTIC PRODUCTS
24 HR selegiline 0.5 MG/HR Transdermal System [Emsam],ALL OTHER THERAPEUTIC PRODUCTS
"HYPODERMIC NEEDLE,ALUM HUB",ALL OTHER THERAPEUTIC PRODUCTS
romidepsin 10 MG Injection [Istodax],OTHER ANTINEOPLASTIC AGENTS in ATC
1 ML pralatrexate 20 MG/ML Injection [Folotyn],ANTIMETABOLITES
trastuzumab 150 MG Injection [Herceptin],OTHER ANTINEOPLASTIC AGENTS in ATC
68 ML axicabtagene ciloleucel 2940000 CELLS/ML Injection [Yescarta],OTHER ANTINEOPLASTIC AGENTS in ATC
10 ML doxorubicin hydrochloride liposome 2 MG/ML Injection,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES
"secretin human, synthetic 0.016 MG Injection [Chirhostim]",ALL OTHER THERAPEUTIC PRODUCTS
"antihemophilic factor, human recombinant 1 UNT Injection [Advate]",VITAMIN K AND OTHER HEMOSTATICS
24 HR tacrolimus 4 MG Extended Release Oral Tablet [Envarsus],IMMUNOSUPPRESSANTS
5 ML sodium bicarbonate 40 MG/ML Injection [Neut brand of sodium bicarbonate],I.V. SOLUTION ADDITIVES
synthetic secretin 0.002 MG/ML Injectable Solution [SecreFlo],ALL OTHER THERAPEUTIC PRODUCTS
Acetaminophen 325 MG / dichloralphenazone 100 MG / isometheptene 65 MG Oral Capsule,OTHER ANALGESICS AND ANTIPYRETICS in ATC
Nitroglycerin 6.5 MG Extended Release Capsule,VASODILATORS USED IN CARDIAC DISEASES
epinephrine 0.005 MG/ML / lidocaine hydrochloride 5 MG/ML Injectable Solution [Xylocaine with Epinephrine],LOCAL ANESTHETICS
leucovorin 200 MG Injection,ALL OTHER THERAPEUTIC PRODUCTS
Famotidine 10 MG/ML Injectable Solution,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
olanzapine 300 MG Injection [Zyprexa],ANTIPSYCHOTICS
Phenylephrine Hydrochloride 100 MG/ML Ophthalmic Solution,MYDRIATICS AND CYCLOPLEGICS
10 ML lidocaine hydrochloride 20 MG/ML Injection [Xylocaine],"ANTIARRHYTHMICS, CLASS I AND III"
Didanosine 250 MG Delayed Release Oral Capsule,DIRECT ACTING ANTIVIRALS
30 ML eculizumab 10 MG/ML Injection [Soliris],IMMUNOSUPPRESSANTS
lamotrigine 5 MG Chewable Tablet [Lamictal],ANTIEPILEPTICS
Tretinoin 0.5 MG/ML Topical Cream,ANTI-ACNE PREPARATIONS FOR TOPICAL USE
vortioxetine 20 MG Oral Tablet [Brintellix],ANTIDEPRESSANTS
Haloperidol 50 MG/ML Injectable Solution [Haldol Decanoate],ANTIPSYCHOTICS
Osmotic 24 HR nifedipine 60 MG Extended Release Oral Tablet [Procardia],SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS
epinephrine 0.01 MG/ML / lidocaine hydrochloride 20 MG/ML Injectable Solution [Xylocaine with Epinephrine],LOCAL ANESTHETICS
epinephrine 1 MG/ML Injectable Solution [Adrenalin],CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES
tirofiban 0.25 MG/ML Injectable Solution [Aggrastat],ANTITHROMBOTIC AGENTS
24 HR paliperidone 1.5 MG Extended Release Oral Tablet [Invega],ANTIPSYCHOTICS
Levothyroxine Sodium 0.125 MG Oral Tablet [Levoxyl],THYROID PREPARATIONS
porfimer sodium 75 MG Injection [Photofrin],OTHER ANTINEOPLASTIC AGENTS in ATC
quinine sulfate 324 MG Oral Capsule,ANTIMALARIALS
streptozocin 1000 MG Injection [Zanosar],ALKYLATING AGENTS
dexrazoxane 500 MG Injection [Zinecard],ALL OTHER THERAPEUTIC PRODUCTS
Dantrolene Sodium 0.333 MG/ML Injectable Solution [Dantrium],ALL OTHER THERAPEUTIC PRODUCTS
interferon alfa-2b 50000000 UNT Injection [Intron A],IMMUNOSTIMULANTS
Zidovudine 10 MG/ML Injectable Solution [Retrovir],DIRECT ACTING ANTIVIRALS
cyclopentolate hydrochloride 2 MG/ML / phenylephrine hydrochloride 10 MG/ML Ophthalmic Solution [Cyclomydril],DECONGESTANTS AND ANTIALLERGICS
desmopressin acetate 0.004 MG/ML Injectable Solution [DDAVP],POSTERIOR PITUITARY LOBE HORMONES
100 ACTUAT flunisolide 0.25 MG/ACTUAT Metered Dose Inhaler [AeroBid],"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS in ATC"
30 ML mepivacaine hydrochloride 10 MG/ML Injection [Carbocaine],LOCAL ANESTHETICS
Pamidronate Disodium 90 MG Injection,DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION
0.5 ML dalteparin sodium 25000 UNT/ML Prefilled Syringe [Fragmin],ANTITHROMBOTIC AGENTS
Etoposide 20 MG/ML Injectable Solution,"PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS, ANTINEOPLASTIC DRUGS"
Praziquantel 600 MG Oral Tablet [Biltricide],ANTITREMATODALS
"50 ML cytomegalovirus immune globulin, human 50 MG/ML Injection [Cytogam]",IMMUNOGLOBULINS
50 ML nelarabine 5 MG/ML Injection [Arranon],ANTIMETABOLITES
24 HR rotigotine 0.25 MG/HR Transdermal System [Neupro],DOPAMINERGIC AGENTS
Dobutamine 1 MG/ML Injectable Solution,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES
telavancin 15 MG/ML Injectable Solution [Vibativ],ALL OTHER THERAPEUTIC PRODUCTS
zidovudine 10 MG/ML Oral Solution,DIRECT ACTING ANTIVIRALS
Trimethobenzamide hydrochloride 100 MG/ML Injectable Solution [Tigan],ANTIHISTAMINES FOR SYSTEMIC USE
Cyproheptadine hydrochloride 0.4 MG/ML Oral Solution,ANTIHISTAMINES FOR SYSTEMIC USE
1 ML hydroxyprogesterone caproate (USP) 250 MG/ML Injection,PROGESTOGEN SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM
calcipotriene 0.00005 MG/MG Topical Ointment [Dovonex],ANTIPSORIATICS FOR TOPICAL USE
certolizumab pegol 200 MG Injection [Cimzia],IMMUNOSUPPRESSANTS
cariprazine 6 MG Oral Capsule [Vraylar],ANTIPSYCHOTICS
Arginine 100 MG/ML Injectable Solution [R-Gene 10],ALL OTHER THERAPEUTIC PRODUCTS
acetate 0.044 MEQ/ML / cysteine 0.2 MG/ML / histidine 2.5 MG/ML / isoleucine 5.6 MG/ML / leucine 8.8 MG/ML / lysine 9 MG/ML / methionine 8.8 MG/ML / phenylalanine 8.8 MG/ML / sodium bisulfite 0.5 MG/ML / sodium chloride 0.005 MEQ/ML / threonine 4 MG/ML...,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS"
10 ML aminophylline 25 MG/ML Injection,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES in ATC
Morphine Sulfate 25 MG/ML Injectable Solution,OPIOID ANALGESICS
dasatinib 20 MG Oral Tablet [Sprycel],"PROTEIN KINASE INHIBITORS, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS"
beclomethasone dipropionate 0.042 MG/ACTUAT Metered Dose Nasal Spray [Beconase],"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS in ATC"
Cytarabine 20 MG/ML Injectable Solution [Cytosar],ANTIMETABOLITES
methenamine mandelate 500 MG Oral Tablet,OTHER ANTIBACTERIALS in ATC
Cocaine Hydrochloride 40 MG/ML Topical Solution,ALL OTHER THERAPEUTIC PRODUCTS
{4 (apremilast 10 MG Oral Tablet [Otezla]) / 4 (apremilast 20 MG Oral Tablet [Otezla]) / 47 (apremilast 30 MG Oral Tablet [Otezla]) } Pack [Otezla 28-Day Starter Pack],IMMUNOSUPPRESSANTS
Dolasetron 100 MG Oral Tablet [Anzemet],ANTIEMETICS AND ANTINAUSEANTS
dantrolene sodium 250 MG Injection [Ryanodex],ALL OTHER THERAPEUTIC PRODUCTS
NEPHRO-VITE TABLET,ALL OTHER THERAPEUTIC PRODUCTS
6 ML arsenic trioxide 2 MG/ML Injection [Trisenox],OTHER ANTINEOPLASTIC AGENTS in ATC
omacetaxine mepesuccinate 3.5 MG Injection [Synribo],OTHER ANTINEOPLASTIC AGENTS in ATC
methylprednisolone 8 MG Oral Tablet,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN"
levonorgestrel 1.5 MG Oral Tablet [My Way],HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE
benazepril hydrochloride 5 MG Oral Tablet,"ACE INHIBITORS, PLAIN"
calcium chloride 0.004 MEQ/ML / magnesium chloride 0.003 MEQ/ML / potassium chloride 0.01 MEQ/ML / sodium acetate 0.0475 MEQ/ML / sodium chloride 0.109 MEQ/ML / sodium citrate 0.012 MEQ/ML Ophthalmic Solution [BSS Ophthalmic Solution],OTHER OPHTHALMOLOGICALS IN ATC
{2 (iloperidone 1 MG Oral Tablet [Fanapt]) / 2 (iloperidone 2 MG Oral Tablet [Fanapt]) / 2 (iloperidone 4 MG Oral Tablet [Fanapt]) / 2 (iloperidone 6 MG Oral Tablet [Fanapt]) } Pack [Fanapt Titration Pack],ANTIPSYCHOTICS
tinidazole 500 MG Oral Tablet [Tindamax],AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES
metronidazole 0.0075 MG/MG Vaginal Gel [Vandazole],"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS"
romiplostim 0.5 MG Injection [Nplate],VITAMIN K AND OTHER HEMOSTATICS
10 ML zinc chloride 1 MG/ML Injection,I.V. SOLUTION ADDITIVES
10 ML zinc sulfate 1 MG/ML Injection,I.V. SOLUTION ADDITIVES
Colchicine 0.6 MG Oral Tablet [Colcrys],ANTIGOUT PREPARATIONS
Pyridostigmine Bromide 60 MG Oral Tablet,PARASYMPATHOMIMETICS
liothyronine sodium 0.005 MG Oral Tablet,THYROID PREPARATIONS
cytarabine liposome 100 MG / daunorubicin liposomal 44 MG Injection [Vyxeos],OTHER ANTINEOPLASTIC AGENTS in ATC
enfuvirtide 90 MG/ML Injectable Solution [Fuzeon],DIRECT ACTING ANTIVIRALS
0.6 ML pegfilgrastim-cbqv 10 MG/ML Prefilled Syringe [Udenyca],IMMUNOSTIMULANTS
0.3 ML darbepoetin alfa 0.2 MG/ML Prefilled Syringe [Aranesp],OTHER ANTIANEMIC PREPARATIONS in ATC
"15 ML Sodium Phosphate, Dibasic 142 MG/ML / Sodium Phosphate, Monobasic 276 MG/ML Injection","IV solutions used in parenteral administration of fluids, electrolytes and nutrients"
20 ML Baclofen 0.5 MG/ML Injection [Lioresal],"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS"
methsuximide 300 MG Oral Capsule [Celontin],ANTIEPILEPTICS
bismuth subsalicylate 20 MG/ML Oral Suspension,ALL OTHER THERAPEUTIC PRODUCTS
1 ML methylprednisolone acetate 40 MG/ML Injection,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN"
POLYSPORIN OINTMENT,ANTIBIOTICS FOR TOPICAL USE
FLUOR-I-STRIP AT,ALL OTHER THERAPEUTIC PRODUCTS
Glyburide 1.25 MG / Metformin hydrochloride 250 MG Oral Tablet,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
25 ML protamine sulfate (USP) 10 MG/ML Injection,ALL OTHER THERAPEUTIC PRODUCTS
Acitretin 25 MG Oral Capsule [Soriatane],ANTIPSORIATICS FOR SYSTEMIC USE
Oprelvekin 5 MG/ML Injectable Solution [Neumega],IMMUNOSTIMULANTS
dalfopristin 70 MG/ML / quinupristin 30 MG/ML Injectable Solution [Synercid],"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS"
Cycloserine 250 MG Oral Capsule [Seromycin],DRUGS FOR TREATMENT OF TUBERCULOSIS
Benazepril hydrochloride 5 MG Oral Tablet [Lotensin],"ACE INHIBITORS, PLAIN"
acetic acid 20 MG/ML Otic Solution,"ANTIINFECTIVE DRUGS, OTOLOGIC"
Ampicillin 250 MG/ML / Sulbactam 125 MG/ML Injectable Solution,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS"
granisetron 1 MG/ML Injectable Solution,ANTIEMETICS AND ANTINAUSEANTS
0.6 ML darbepoetin alfa 0.5 MG/ML Prefilled Syringe [Aranesp],OTHER ANTIANEMIC PREPARATIONS in ATC
dimethyl sulfoxide 500 MG/ML Irrigation Solution [Rimso-50],UROLOGICALS
24 HR Methylphenidate Hydrochloride 36 MG Extended Release Tablet [Concerta],"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS"
"estrogens, esterified (USP) 1.25 MG Oral Tablet [Menest]",ALL OTHER THERAPEUTIC PRODUCTS
Amoxicillin 25 MG/ML Oral Suspension [Amoxil],"BETA-LACTAM ANTIBACTERIALS, PENICILLINS"
0.42 ML darbepoetin alfa 0.06 MG/ML Prefilled Syringe [Aranesp],OTHER ANTIANEMIC PREPARATIONS in ATC
Dipivefrin hydrochloride 1 MG/ML Ophthalmic Solution,ANTIGLAUCOMA PREPARATIONS AND MIOTICS
0.6 ML fondaparinux sodium 12.5 MG/ML Prefilled Syringe,ANTITHROMBOTIC AGENTS
terbinafine 250 MG Oral Tablet,ANTIFUNGALS FOR SYSTEMIC USE
Dipivefrin 1 MG/ML Ophthalmic Solution [Propine brand of dipivefrin],ANTIGLAUCOMA PREPARATIONS AND MIOTICS
Cefoxitin 95 MG/ML Injectable Solution [Mefoxin],OTHER BETA-LACTAM ANTIBACTERIALS in ATC
fosinopril sodium 40 MG Oral Tablet [Monopril],"ACE INHIBITORS, PLAIN"
1 ML triamcinolone acetonide 40 MG/ML Injection,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN"
1 ML triamcinolone acetonide 40 MG/ML Injection [Triesence],"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN"
Carbidopa 25 MG / Levodopa 250 MG Disintegrating Oral Tablet [Parcopa],DOPAMINERGIC AGENTS
ethacrynic acid 25 MG Oral Tablet,HIGH-CEILING DIURETICS
temozolomide 5 MG Oral Capsule,ALKYLATING AGENTS
1.5 ML Leuprolide 15 MG/ML Prefilled Syringe [Lupron],HORMONES AND RELATED AGENTS
20 ML ropivacaine hydrochloride 2 MG/ML Injection [Naropin],LOCAL ANESTHETICS
phenylephrine hydrochloride 100 MG/ML Ophthalmic Solution,MYDRIATICS AND CYCLOPLEGICS
prednisolone 30 MG Disintegrating Oral Tablet,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN"
1.5 ML leuprolide acetate 30 MG/ML Prefilled Syringe [Lupron],HORMONES AND RELATED AGENTS
dalbavancin 500 MG Injection [Dalvance],OTHER ANTIBACTERIALS in ATC
quinidine sulfate 200 MG Oral Tablet,"ANTIARRHYTHMICS, CLASS I AND III"
168 HR buprenorphine 0.005 MG/HR Transdermal System [BuTrans],OPIOID ANALGESICS
1 ML liothyronine sodium 0.01 MG/ML Injection [Triostat],THYROID PREPARATIONS
Benzoyl Peroxide 0.05 MG/MG Topical Gel,ANTI-ACNE PREPARATIONS FOR TOPICAL USE
Flurazepam Hydrochloride 30 MG Oral Capsule,HYPNOTICS AND SEDATIVES
progesterone 0.04 MG/MG Vaginal Gel [Crinone],PROGESTOGEN SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM
pazopanib 200 MG Oral Tablet [Votrient],"PROTEIN KINASE INHIBITORS, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS"
Granisetron 1 MG/ML Injectable Solution [Kytril],ANTIEMETICS AND ANTINAUSEANTS
caffeine 100 MG / ergotamine tartrate 1 MG Oral Tablet [Cafergot],ANTIMIGRAINE PREPARATIONS
ibrutinib 140 MG Oral Capsule [Imbruvica],"PROTEIN KINASE INHIBITORS, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS"
10 ML tranexamic acid 100 MG/ML Injection [Cyklokapron],ANTIFIBRINOLYTICS
vortioxetine 20 MG Oral Tablet [Trintellix],ANTIDEPRESSANTS
Oseltamivir 12 MG/ML Oral Suspension [Tamiflu],DIRECT ACTING ANTIVIRALS
olaparib 50 MG Oral Capsule [Lynparza],OTHER ANTINEOPLASTIC AGENTS in ATC
0.8 ML adalimumab 50 MG/ML Auto-Injector [Humira],IMMUNOSUPPRESSANTS
10 ML oxaliplatin 5 MG/ML Injection [Eloxatin],OTHER ANTINEOPLASTIC AGENTS in ATC
aluminum sulfate 8.42 MG/ML / calcium acetate 5.95 MG/ML Topical Solution,VITAMIN K AND OTHER HEMOSTATICS
eszopiclone 1 MG Oral Tablet [Lunesta],HYPNOTICS AND SEDATIVES
pentamidine isethionate 300 MG Injection [Pentam],AGENTS AGAINST LEISHMANIASIS AND TRYPANOSOMIASIS
1 ML tacrolimus 5 MG/ML Injection [Prograf],IMMUNOSUPPRESSANTS
24 HR topiramate 50 MG Extended Release Oral Capsule [Trokendi],ANTIEPILEPTICS
24 HR topiramate 200 MG Extended Release Oral Capsule [Trokendi],ANTIEPILEPTICS
Docusate 50 MG / Sennosides 8.6 MG Oral Tablet [SENOKOT-S],DRUGS FOR CONSTIPATION
20 ML atezolizumab 60 MG/ML Injection [Tecentriq],OTHER ANTINEOPLASTIC AGENTS in ATC
selegiline hydrochloride 5 MG Oral Tablet,DOPAMINERGIC AGENTS
Nitrofurantoin 5 MG/ML Oral Suspension [Furadantin],OTHER ANTIBACTERIALS in ATC
thioridazine 10 MG Oral Tablet,ANTIPSYCHOTICS
ampicillin 100 MG/ML Injectable Solution,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS"
polymyxin B 10000 UNT/ML / trimethoprim 1 MG/ML Ophthalmic Solution [Polytrim],"ANTIINFECTIVES, OPHTHALMOLOGIC AND OTOLOGIC"
progesterone 50 MG/ML Injectable Solution,PROGESTOGEN SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM
metaxalone 800 MG Oral Tablet,ALL OTHER THERAPEUTIC PRODUCTS
Povidone-Iodine 100 MG/ML Topical Solution [Betadine],ANTISEPTICS AND DISINFECTANTS
